Word,Category
Piranha,Fear Power Words
Pitfall,Fear Power Words
Plague,Fear Power Words
Played,Fear Power Words
Plummet,Fear Power Words
Plunge,Fear Power Words
Poison,Fear Power Words
Poor,Fear Power Words
Prison,Fear Power Words
Pummel,Fear Power Words
Pus,Fear Power Words
Reckoning,Fear Power Words
Refugee,Fear Power Words
Revenge,Fear Power Words
Risky,Fear Power Words
Scary,Fear Power Words
Scream,Fear Power Words
Searing,Fear Power Words
Shame,Fear Power Words
Shatter,Fear Power Words
Shellacking,Fear Power Words
Shocked,Fear Power Words
Silly,Fear Power Words
Slaughter,Fear Power Words
Slave,Fear Power Words
Strangle,Fear Power Words
Stupid,Fear Power Words
Suicide,Fear Power Words
Tailspin,Fear Power Words
Tank,Fear Power Words
Targeted,Fear Power Words
Teetering,Fear Power Words
Terror,Fear Power Words
Terrorist,Fear Power Words
Torture,Fear Power Words
Toxic,Fear Power Words
Tragedy,Fear Power Words
Trap,Fear Power Words
Vaporize,Fear Power Words
Victim,Fear Power Words
Cataclysmic,Fear Power Words
Suffering,Fear Power Words
Trauma,Fear Power Words
Annihilate,Fear Power Words
Volatile,Fear Power Words
Vulnerable,Fear Power Words
Warning,Fear Power Words
Nerd,Fear Power Words
Wounded,Fear Power Words
Cringeworthy,Fear Power Words
Fugacious,Fear Power Words

Amazing,Encouragement Power Words
Ascend,Encouragement Power Words
Astonishing,Encouragement Power Words
Astounding,Encouragement Power Words
Audacious,Encouragement Power Words
Awe-inspiring,Encouragement Power Words
Awesome,Encouragement Power Words
Backbone,Encouragement Power Words
Badass,Encouragement Power Words
Beat,Encouragement Power Words
Belief,Encouragement Power Words
Blissful,Encouragement Power Words
Bravery,Encouragement Power Words
Breathtaking,Encouragement Power Words
Brilliant,Encouragement Power Words
Celebrate,Encouragement Power Words
Cheer,Encouragement Power Words
Colossal,Encouragement Power Words
Command,Encouragement Power Words
Conquer,Encouragement Power Words
Courage,Encouragement Power Words
Daring,Encouragement Power Words
Defeat,Encouragement Power Words
Defiance,Encouragement Power Words
Delight,Encouragement Power Words
Devoted,Encouragement Power Words
Dignity,Encouragement Power Words
Dominate,Encouragement Power Words
Effortless,Encouragement Power Words
Empower,Encouragement Power Words
Epic,Encouragement Power Words
Excellent,Encouragement Power Words
Excited,Encouragement Power Words
Extraordinary,Encouragement Power Words
Eye-opening,Encouragement Power Words
Fabulous,Encouragement Power Words
Faith,Encouragement Power Words
Fantastic,Encouragement Power Words
Fearless,Encouragement Power Words
Ferocious,Encouragement Power Words
Fierce,Encouragement Power Words
Force,Encouragement Power Words
Fulfill,Encouragement Power Words
Glorious,Encouragement Power Words
Glory,Encouragement Power Words
Graceful,Encouragement Power Words
Grateful,Encouragement Power Words
Grit,Encouragement Power Words
Guts,Encouragement Power Words
Happy,Encouragement Power Words
Heart,Encouragement Power Words
Hero,Encouragement Power Words
Honor,Encouragement Power Words
Hope,Encouragement Power Words
Incredible,Encouragement Power Words
Jaw-dropping,Encouragement Power Words
Kudos,Encouragement Power Words
Lovable,Encouragement Power Words
Flawless,Encouragement Power Words
Affable,Encouragement Power Words
Virtuoso,Encouragement Power Words
Openhearted,Encouragement Power Words
Beauteous,Encouragement Power Words
Adorable,Encouragement Power Words
Jubilant,Encouragement Power Words
Legend,Encouragement Power Words
Life-changing,Encouragement Power Words
Magic,Encouragement Power Words
Marvelous,Encouragement Power Words
Master,Encouragement Power Words
Mind-blowing,Encouragement Power Words
Miracle,Encouragement Power Words
Miraculous,Encouragement Power Words
Noble,Encouragement Power Words
Perfect,Encouragement Power Words
Persuade,Encouragement Power Words
Phenomenal,Encouragement Power Words
Pluck,Encouragement Power Words
Power-up,Encouragement Power Words
Praise,Encouragement Power Words
Prevail,Encouragement Power Words
Remarkable,Encouragement Power Words
Revel,Encouragement Power Words
Rule,Encouragement Power Words
Score,Encouragement Power Words
Seize,Encouragement Power Words
Sensational,Encouragement Power Words
Spectacular,Encouragement Power Words
Spine,Encouragement Power Words
Spirit,Encouragement Power Words
Splendid,Encouragement Power Words
Spunk,Encouragement Power Words
Staggering,Encouragement Power Words
Strengthen,Encouragement Power Words
Striking,Encouragement Power Words
Strong,Encouragement Power Words
Stunning,Encouragement Power Words
Stunt,Encouragement Power Words
Supreme,Encouragement Power Words
Surprising,Encouragement Power Words
Terrific,Encouragement Power Words
Thrive,Encouragement Power Words
Thwart,Encouragement Power Words
Titan,Encouragement Power Words
Tough,Encouragement Power Words
Triumph,Encouragement Power Words
Tremendous,Encouragement Power Words
Unbeatable,Encouragement Power Words
Unbelievable,Encouragement Power Words
Unforgettable,Encouragement Power Words
Unique,Encouragement Power Words
Unleash,Encouragement Power Words
Uplifting,Encouragement Power Words
Valiant,Encouragement Power Words
Valor,Encouragement Power Words
Vanquish,Encouragement Power Words
Victory,Encouragement Power Words
Win,Encouragement Power Words
Wonderful,Encouragement Power Words
Wondrous,Encouragement Power Words
Brighten,Encouragement Power Words
Radiant,Encouragement Power Words
Classy,Encouragement Power Words
Stupendous,Encouragement Power Words
Cheery,Encouragement Power Words
Jovial,Encouragement Power Words
Logophile,Encouragement Power Words

Allure,Lust Power Words
Arouse,Lust Power Words
Bare,Lust Power Words
Begging,Lust Power Words
Beguiling,Lust Power Words
Brazen,Lust Power Words
Captivating,Lust Power Words
Charm,Lust Power Words
Cheeky,Lust Power Words
Climax,Lust Power Words
Crave,Lust Power Words
Delight,Lust Power Words
Delirious,Lust Power Words
Depraved,Lust Power Words
Desire,Lust Power Words
Dirty,Lust Power Words
Divine,Lust Power Words
Ecstasy,Lust Power Words
Embrace,Lust Power Words
Enchant,Lust Power Words
Enthralling,Lust Power Words
Entice,Lust Power Words
Entrance,Lust Power Words
Excite,Lust Power Words
Explicit,Lust Power Words
Exposed,Lust Power Words
Fascinate,Lust Power Words
Forbidden,Lust Power Words
Frisky,Lust Power Words
Goosebumps,Lust Power Words
Hanker,Lust Power Words
Heavenly,Lust Power Words
Hottest,Lust Power Words
Hypnotic,Lust Power Words
Impure,Lust Power Words
Indecent,Lust Power Words
Intense,Lust Power Words
Intoxicating,Lust Power Words
Itching,Lust Power Words
Juicy,Lust Power Words
Kinky,Lust Power Words
Kiss,Lust Power Words
Lascivious,Lust Power Words
Lewd,Lust Power Words
Lick,Lust Power Words
Lonely,Lust Power Words
Longing,Lust Power Words
Love,Lust Power Words
Pleasurable,Lust Power Words
Riveting,Lust Power Words
Mouthwatering,Lust Power Words
Magnetic,Lust Power Words
Lovely,Lust Power Words
Intriguing,Lust Power Words
Flirt,Lust Power Words
Lure,Lust Power Words
Luscious,Lust Power Words
Lush,Lust Power Words
Lust,Lust Power Words
Mischievous,Lust Power Words
Mouth-watering,Lust Power Words
Naked,Lust Power Words
Naughty,Lust Power Words
Nude,Lust Power Words
Obscene,Lust Power Words
Orgasmic,Lust Power Words
Passionate,Lust Power Words
Pining,Lust Power Words
Pleasure,Lust Power Words
Provocative,Lust Power Words
Racy,Lust Power Words
Raunchy,Lust Power Words
Risque,Lust Power Words
Rowdy,Lust Power Words
Salacious,Lust Power Words
Satisfy,Lust Power Words
Saucy,Lust Power Words
Scandalous,Lust Power Words
Seduce,Lust Power Words
Seductive,Lust Power Words
Sensual,Lust Power Words
Sex,Lust Power Words
Shameless,Lust Power Words
Sinful,Lust Power Words
Sleazy,Lust Power Words
Sleeping,Lust Power Words
Spank,Lust Power Words
Spellbinding,Lust Power Words
Spicy,Lust Power Words
Steamy,Lust Power Words
Stimulating,Lust Power Words
Strip,Lust Power Words
Sweaty,Lust Power Words
Tantalizing,Lust Power Words
Taste,Lust Power Words
Tawdry,Lust Power Words
Tease,Lust Power Words
Tempting,Lust Power Words
Thrilling,Lust Power Words
Tickle,Lust Power Words
Tight,Lust Power Words
Tingle,Lust Power Words
Turn on,Lust Power Words
Unabashed,Lust Power Words
Uncensored,Lust Power Words
Untamed,Lust Power Words
Untouched,Lust Power Words
Urge,Lust Power Words
Voluptuous,Lust Power Words
Vulgar,Lust Power Words
Charismatic,Lust Power Words
Obsession,Lust Power Words
Compelling,Lust Power Words
Enchanting,Lust Power Words
Engaging,Lust Power Words
Fascinating,Lust Power Words
Alluring,Lust Power Words
Wanton,Lust Power Words
Wet,Lust Power Words
Whip,Lust Power Words
Wild,Lust Power Words
X-rated,Lust Power Words
Yearning,Lust Power Words
Yummy,Lust Power Words
Sneak peek,Lust Power Words
Promiscuous,Lust Power Words

Abhorrent,Anger Power Words
Abuse,Anger Power Words
Annoying,Anger Power Words
Arrogant,Anger Power Words
Ass kicking,Anger Power Words
Backstabbing,Anger Power Words
Barbaric,Anger Power Words
Bash,Anger Power Words
Beat down,Anger Power Words
Big mouth,Anger Power Words
Blatant,Anger Power Words
Brutal,Anger Power Words
Bullsh*t,Anger Power Words
Bully,Anger Power Words
Cheat,Anger Power Words
Clobber,Anger Power Words
Clown,Anger Power Words
Cocky,Anger Power Words
Corrupt,Anger Power Words
Coward,Anger Power Words
Crooked,Anger Power Words
Crush,Anger Power Words
Curse,Anger Power Words
Debase,Anger Power Words
Defile,Anger Power Words
Delinquent,Anger Power Words
Demolish,Anger Power Words
Desecrate,Anger Power Words
Disgusting,Anger Power Words
Dishonest,Anger Power Words
Distorted,Anger Power Words
Evil,Anger Power Words
Exploit,Anger Power Words
Force-fed,Anger Power Words
Foul,Anger Power Words
Freaking out,Anger Power Words
Full of sh*t,Anger Power Words
Greedy,Anger Power Words
Gross,Anger Power Words
Harass,Anger Power Words
Hate,Anger Power Words
High and mighty,Anger Power Words
Horrid,Anger Power Words
Infuriating,Anger Power Words
Jackass,Anger Power Words
Kick,Anger Power Words
Kill,Anger Power Words
Knock,Anger Power Words
Knock out,Anger Power Words
Know it all,Anger Power Words
Lies,Anger Power Words
Livid,Anger Power Words
Loathsome,Anger Power Words
Loser,Anger Power Words
Lying,Anger Power Words
Maul,Anger Power Words
Money-grubbing,Anger Power Words
Nasty,Anger Power Words
Nazi,Anger Power Words
No good,Anger Power Words
Obnoxious,Anger Power Words
Oppressive,Anger Power Words
Pain in the ass,Anger Power Words
Payback,Anger Power Words
Perverse,Anger Power Words
Pesky,Anger Power Words
Pest,Anger Power Words
Phony,Anger Power Words
Pissed off,Anger Power Words
Pollute,Anger Power Words
Pompous,Anger Power Words
Pound,Anger Power Words
Preposterous,Anger Power Words
Pretentious,Anger Power Words
Punch,Anger Power Words
Punish,Anger Power Words
Rampant,Anger Power Words
Ravage,Anger Power Words
Repelling,Anger Power Words
Repugnant,Anger Power Words
Revile,Anger Power Words
Revolting,Anger Power Words
Rotten,Anger Power Words
Rude,Anger Power Words
Ruined,Anger Power Words
Ruthless,Anger Power Words
Savage,Anger Power Words
Scam,Anger Power Words
Scold,Anger Power Words
Sick and tired,Anger Power Words
Sink,Anger Power Words
Slam,Anger Power Words
Slander,Anger Power Words
Slap,Anger Power Words
Slay,Anger Power Words
Smash,Anger Power Words
Smear,Anger Power Words
Smug,Anger Power Words
Sniveling,Anger Power Words
Snob,Anger Power Words
Snooty,Anger Power Words
Snotty,Anger Power Words
Spoil,Anger Power Words
Stuck up,Anger Power Words
Suck,Anger Power Words
Terrorize,Anger Power Words
Trash,Anger Power Words
Trounce,Anger Power Words
Tyranny,Anger Power Words
Underhanded,Anger Power Words
Up to here,Anger Power Words
Useless,Anger Power Words
Broke,Anger Power Words
Stink,Anger Power Words
Fear,Anger Power Words
Raise hell,Anger Power Words
Sneaky,Anger Power Words
Screw,Anger Power Words
Rant,Anger Power Words
Diatribe,Anger Power Words
Weak,Anger Power Words
Diminish,Anger Power Words
Provoke,Anger Power Words
Hostile,Anger Power Words
Morally bankrupt,Anger Power Words
Worst,Anger Power Words
Thug,Anger Power Words
B.S.,Anger Power Words
Agitate,Anger Power Words
Boil over,Anger Power Words
Annoy,Anger Power Words
Violent,Anger Power Words
Misleading,Anger Power Words
Violate,Anger Power Words
Lollygag,Anger Power Words
Quixotic,Anger Power Words

Bank,Greed Power Words
Jackpot,Greed Power Words
Bargain,Greed Power Words
Lowest price,Greed Power Words
Best,Greed Power Words
Luxurious,Greed Power Words
Billion,Greed Power Words
Marked down,Greed Power Words
Bonanza,Greed Power Words
Massive,Greed Power Words
Booked solid,Greed Power Words
Money,Greed Power Words
Cash,Greed Power Words
Money-draining,Greed Power Words
Cheap,Greed Power Words
Money-saving,Greed Power Words
Costly,Greed Power Words
Nest egg,Greed Power Words
Discount,Greed Power Words
Pay zero,Greed Power Words
Dollar,Greed Power Words
Prize,Greed Power Words
Double,Greed Power Words
Profit,Greed Power Words
Explode,Greed Power Words
Quadruple,Greed Power Words
Extra,Greed Power Words
Reduced,Greed Power Words
Feast,Greed Power Words
Rich,Greed Power Words
Fortune,Greed Power Words
Savings,Greed Power Words
Don’t miss out,Greed Power Words
Fast,Greed Power Words
Giveaway,Greed Power Words
While they last,Greed Power Words
Instantly,Greed Power Words
Expires,Greed Power Words
Never again,Greed Power Words
Premiere,Greed Power Words
Final,Greed Power Words
More,Greed Power Words
Hurry,Greed Power Words
Sale ends soon,Greed Power Words
Value,Greed Power Words
Monetize,Greed Power Words
Big,Greed Power Words
Save,Greed Power Words
New,Greed Power Words
Deadline,Greed Power Words
Handsome,Greed Power Words
Noteworthy,Greed Power Words
Kick ass,Greed Power Words
Moneymaking,Greed Power Words
Knockout,Greed Power Words
Lucky,Greed Power Words
Notable,Greed Power Words
Amplify,Greed Power Words
At the top,Greed Power Words
Attractive,Greed Power Words
Wealthy,Greed Power Words
Ahead of the game,Greed Power Words
Legendary,Greed Power Words
Beautiful,Greed Power Words
Optimal,Greed Power Words
Good-looking,Greed Power Words
Successful,Greed Power Words
Bold,Greed Power Words
Fortunate,Greed Power Words
Sassy,Greed Power Words
Smart,Greed Power Words
Elegant,Greed Power Words
Gorgeous,Greed Power Words
Clever,Greed Power Words
Foxy,Greed Power Words
Quick-witted,Greed Power Words
Genius,Greed Power Words
Effective,Greed Power Words
Elite,Greed Power Words
Drop-dead,Greed Power Words
Crowned,Greed Power Words
Dazzling,Greed Power Words
You,Greed Power Words
Turbo charge,Greed Power Words
Bright,Greed Power Words
Super-human,Greed Power Words
Brassy,Greed Power Words
Booming,Greed Power Words
Boss,Greed Power Words
Unbeaten,Greed Power Words
Undefeated,Greed Power Words
Boost,Greed Power Words
Exclusive / Exclusivity,Greed Power Words
Frugal,Greed Power Words
Special,Greed Power Words
Price break,Greed Power Words
Before,Greed Power Words
Running out,Greed Power Words
Upsell,Greed Power Words
Bonus,Greed Power Words
Free,Greed Power Words
Six-figure,Greed Power Words
Freebie,Greed Power Words
Skyrocket,Greed Power Words
Frenzy,Greed Power Words
Soaring,Greed Power Words
Prosperous,Greed Power Words
Surge,Greed Power Words
Gift,Greed Power Words
Treasure,Greed Power Words
Golden,Greed Power Words
Triple,Greed Power Words
Greatest,Greed Power Words
Waste,Greed Power Words
High-paying,Greed Power Words
Wealth,Greed Power Words
Inexpensive,Greed Power Words
Whopping,Greed Power Words
Cheat sheet,Greed Power Words

Above and beyond,Safety Power Words
Privacy,Safety Power Words
Anonymous,Safety Power Words
Professional,Safety Power Words
Authentic,Safety Power Words
Protected,Safety Power Words
Automatic,Safety Power Words
Proven,Safety Power Words
Backed,Safety Power Words
Recession-proof,Safety Power Words
Bankable,Safety Power Words
Refund,Safety Power Words
Best-selling,Safety Power Words
Reliable,Safety Power Words
Cancel anytime,Safety Power Words
Research,Safety Power Words
Certified,Safety Power Words
Results,Safety Power Words
Clockwork,Safety Power Words
Risk-free,Safety Power Words
Endorsed,Safety Power Words
Rock-solid,Safety Power Words
Foolproof,Safety Power Words
Science-backed,Safety Power Words
Guaranteed,Safety Power Words
Scientific,Safety Power Words
Moneyback,Safety Power Words
Bona fide,Safety Power Words
Recognized,Safety Power Words
Authority,Safety Power Words
Studies show,Safety Power Words
Because,Safety Power Words
Scientifically proven,Safety Power Words
Genuine,Safety Power Words
Worldwide,Safety Power Words
Authoritative,Safety Power Words
Safety,Safety Power Words
Accredited,Safety Power Words
Fully refundable,Safety Power Words
Case study,Safety Power Words
Well respected,Safety Power Words
Dependable,Safety Power Words
Improved,Safety Power Words
Ensured,Safety Power Words
Expert,Safety Power Words
According to,Safety Power Words
Track record,Safety Power Words
Approved,Safety Power Words
Ironclad,Safety Power Words
Secure,Safety Power Words
Legitimate,Safety Power Words
Sure-fire,Safety Power Words
Lifetime,Safety Power Words
Survive,Safety Power Words
Money-back,Safety Power Words
Tested,Safety Power Words
No obligation,Safety Power Words
That never fails,Safety Power Words
No questions asked,Safety Power Words
Thorough,Safety Power Words
No risk,Safety Power Words
Trustworthy,Safety Power Words
No strings attached,Safety Power Words
Try before you buy,Safety Power Words
No-fail,Safety Power Words
Unconditional,Safety Power Words
Official,Safety Power Words
Verify,Safety Power Words
Permanent,Safety Power Words
World-class,Safety Power Words
Guilt-free,Safety Power Words
Don’t worry,Safety Power Words

Ancient,Forbidden Power Words
Lost,Forbidden Power Words
Backdoor,Forbidden Power Words
Never seen before,Forbidden Power Words
Banned,Forbidden Power Words
Off the record,Forbidden Power Words
Behind the scenes,Forbidden Power Words
Off-limits,Forbidden Power Words
Black Market,Forbidden Power Words
Outlawed,Forbidden Power Words
Blacklisted,Forbidden Power Words
Private,Forbidden Power Words
Bootleg,Forbidden Power Words
Restricted,Forbidden Power Words
Censored,Forbidden Power Words
Sealed,Forbidden Power Words
Remote,Forbidden Power Words
Be the first,Forbidden Power Words
Ridiculous,Forbidden Power Words
Become an insider,Forbidden Power Words
Secrets,Forbidden Power Words
Bizarre,Forbidden Power Words
Shocking,Forbidden Power Words
Class full,Forbidden Power Words
Ssshhh!!!,Forbidden Power Words
Closet,Forbidden Power Words
Spoiler,Forbidden Power Words
Elusive,Forbidden Power Words
Supersecret,Forbidden Power Words
Thought-provoking,Forbidden Power Words
Illusive,Forbidden Power Words
Top secret,Forbidden Power Words
Incredibly,Forbidden Power Words
Trade secret,Forbidden Power Words
Insane,Forbidden Power Words
Uncharted,Forbidden Power Words
Interesting,Forbidden Power Words
Unconventional,Forbidden Power Words
Invitation only,Forbidden Power Words
Undiscovered,Forbidden Power Words
Key,Forbidden Power Words
Unexplained,Forbidden Power Words
Login required,Forbidden Power Words
Unexplored,Forbidden Power Words
Members only,Forbidden Power Words
Unheard of,Forbidden Power Words
Myths,Forbidden Power Words
Unsung,Forbidden Power Words
Odd,Forbidden Power Words
Untold,Forbidden Power Words
On the QT,Forbidden Power Words
Unusual,Forbidden Power Words
Priceless,Forbidden Power Words
Wacky,Forbidden Power Words
Privy,Forbidden Power Words
Zany,Forbidden Power Words
Psycho,Forbidden Power Words
Classified,Forbidden Power Words
Secret,Forbidden Power Words
Cloak and dagger,Forbidden Power Words
Smuggled,Forbidden Power Words
Concealed,Forbidden Power Words
Strange,Forbidden Power Words
Confessions,Forbidden Power Words
Tried to hide,Forbidden Power Words
Confidential,Forbidden Power Words
Unauthorized,Forbidden Power Words
Controversial,Forbidden Power Words
Uncensored,Forbidden Power Words
Covert,Forbidden Power Words
Under wraps,Forbidden Power Words
Cover-up,Forbidden Power Words
Undercover,Forbidden Power Words
Exotic,Forbidden Power Words
Underground,Forbidden Power Words
Forbidden,Forbidden Power Words
Under-the-table,Forbidden Power Words
Forgotten,Forbidden Power Words
Undisclosed,Forbidden Power Words
From the vault,Forbidden Power Words
Unexpected,Forbidden Power Words
Under the table,Forbidden Power Words
Unlock,Forbidden Power Words
Hush-hush,Forbidden Power Words
Unreachable,Forbidden Power Words
Illegal,Forbidden Power Words
Unspoken,Forbidden Power Words
Insider,Forbidden Power Words
Unveiled,Forbidden Power Words
Little-known,Forbidden Power Words
Withheld,Forbidden Power Words
Hidden,Forbidden Power Words
