Datums;Vārdadienas
08.07.;Antra Adele Ada Adaļa Adela Adelaida Adelaīda Adelaide Adelgunde Adelheida Adelheide Adelija Adēlija Adelions Adeljans Adeļa Adeļjons Adija Adis Antris Fevronija Nimmija Nimue Nira Nīra Nita
09.07.;Zaiga Asne Asna Kirils Kirills Nominanda Nona Nonna Zaigonis
10.07.;Lija Olīvija Olivers Odrija Olijs Oliva Olīva Olivija Olvija Olvita Samsons
11.07.;Leonora Svens Lennijs Lenvija Leonorija Svenis Taila Taimira Taunis
12.07.;Indriķis Ints Namejs Indreks Indriks Intis Nameisis Omula Oniks Oniksa
13.07.;Margrieta Margarita Magrieta Malgožata Margareta Margarēta Margarieta Margieta Margreta Margrēta Margrita Marģieta Mārģieta Pegija
14.07.;Oskars Ritvars Anvars Orlando Ornella Ornets Oskarina Oskarīna
15.07.;Egons Egmonts Egija Henriks Heinrihs Ega Egijs Egmonds Egmonta Ego Genrihs Heincs Heindrihs Heinis Heino Heinriks Hektors Hendrihs Hendriks Henrihs Henrika
16.07.;Hermīne Estere Liepa Aleftina Aleftīna Aleftīne Aleta Alevtina Alevtīna Alevtine Alevtīne Esfira Estera Ēstere Estra Estris Herma Hermina Hermīna Hermine Hervita Ostins Rainelda Rainelde
17.07.;Aleksis Aleksejs Alekss Aleks Alika Aliks Aļika Aļiks Pijs Pius
18.07.;Rozālija Roze Rosa Rosita Rosvita Roza Rozaleja Rozalija Rozalinda Rozemarija Rozita Rozīte Rozmarija Rozvita
19.07.;Jautrīte Kamila Digna Sāra Digne Dignija Jautra Jautris Kamēlija Kamena Kamilija Kamīlija Kamilla Kamils Kamita Pireta Sallija Sallijs Sarika Sarita Seila Sella Sellija Zallija Zara Zāra Zarina
20.07.;Ritma Ramona Platons Plūdonis Rada Radimins Ramons Ramuna Ramune Ramute Ritmars Ritmārs Rusanda Ruzanna Ruze
21.07.;Meldra Meldris Melisa Potencija Pudencija Pudentija
22.07.;Marija Marika Marina Mareja Mariama Marī Mariamija Marīna Marja Marjama Mārika Miriama Mirjama Mirjāma Mirjana
23.07.;Magda Magone Mērija Magdalēna Madelaina Madeleina Madlena Madlēna Magdalena Magdaliene Magdalina Magita Meralda Meri Merīda Merija Merilina Merita Radislavs Radmila Radomirs
24.07.;Kristīne Kristīna Krista Kristiāna Kristiāns Hristiāna Kersti Kerstina Kriste Kristela Kristena Kristiana Kristiāne Kristianna Kristians Kristija Kristijana Kristijans Kristijāns Kristilla Kristina Kristine Ķersta Ķērsta
25.07.;Jēkabs Žaklīna Džeims Džeimss Džeks Džema Džemma Džems Džemss Džims Jaceks Jakobīna Jakobs Jākobs Jakovs Jakubs Jākubs Kaupo Žaklina Žaklīne Žaks
26.07.;Anna Ance Annija Ana Anabella Ancis Annabella Anne Annele Annelija Anniņa Aņa Aņeļa Aņuta Ona Oneta
27.07.;Marta Dita Dite Mārta Martijana Martina Martīna Radu Radvilis Radvils Raēle
28.07.;Cecīlija Cilda Cecilija Celerina Celina Celīna Cicilija Cildis Cildonis Cilija Cilina Cilmija Cilnija Rafaela Rafaels Rafaēls Rafails Rafiks
29.07.;Edmunds Edžus Vidmants Asmunds Ausmunds Edmonda Edmonds Edmons Edmonts Edmunts Raens Raida Raiders Raido Raiena Raiens Raigards Raigo Raija Rajens Vidmands Vidmunds
30.07.;Valters Renārs Regnārs Ragnars Ragnārs Ragnēda Rāgners Ragnija Regnars Reinards Reinars Reinārs Reiners Renards Renars Renarts Rinards Rinārs Rintars Valteris Valtra Valtraude Valtrauta Valtraute
31.07.;Rūta Ruta Angelika Sigita Andžela Andželika Andželīna Andželita Andžella Andželo Anga Angarijs Angela Angelija Angēlika Angelina Angelīna Angelita Angeļa Anģelina Anģelīna Anhelita Anžela Anželika Anželina Anželita Anžella Rute Rūte Rūtiņa Sigeta Sigija Sigits
01.08.;Albīns Albīna Alba Albina Albine Albīne Albinsa Rameka Ramērs Ramils Ramina Ramīna Ramiro
02.08.;Normunds Stefans Eliana Elians Eliass Eliašs Elija Ēlija Elijass Elijašs Elijs Eliots Elis Eljašs Holgers Iljana Iļana Iļja Iļjana Noa Norlands Norma Normands Normans Normanta Normants Normens Normuds Normunda Stefāns Stepans Stepons Stīvens
03.08.;Augusts Anufrijs Augustins Augustīns Ogists Oktavians Oktavija Oktāvija Onufrija Onufrijs Onupris
04.08.;Romāns Romualds Romualda Roma Romalda Romalds Romanda Romands Romanija Romānija Romans Romants Romass Romeks Romena Romēna Romēns Romeo Rometa Romija Romis Roms Romulds Romvalda Romvalds
05.08.;Osvalds Arvils Arvīns Osvaldis Rasmuss Rauza Ravena Ravita Salma Salme
06.08.;Askolds Aisma Aista Asma Reds Reičela Reičele Remberts Skots
07.08.;Alfrēds Madars Fredis Alfra Alfreds Alfrida Alfrīda Alfrids Alfrīds Alimpiada Alva Alvaro Alvars Fredijs Freds Olimpiada Olimpija Rema Remigijs Remijs Remirs Remo Rems
08.08.;Mudīte Vladislavs Vladislava Midīte Mudijs Mudiņš Mudis Renda Rendija Rendijs Renē Renno Reno Rens Reons Vlada Vladeks
09.08.;Madara Genoveva Genovefa Anfija Anfisa Genovaite Genoveja Genovera Genuvefa Geņa Gunavefa Ģenovefa Madare Sava
10.08.;Brencis Audris Inuta Audra Auda Audars Aude Brenda Brendons Breta Brets Brina Brinda Labrencis Lars Larss Laurentijs Lavrentijs
11.08.;Olga Zita Liega Zigita Alesja Aļesja Olesija Olesja Olgita Olmars Olrita Oļesija Oļesja Oļesje
12.08.;Vizma Klāra Klara Klēra Reta Rets Revita Revs Vizulis
13.08.;Elvīra Velga Rēzija Elvira Elvīrs Hipolits Ilvīra Ipolits Rezēda Rezenda Rezija
14.08.;Zelma Zemgus Virma Rianda Riandra Rids Rieta Selma Zelmars Zemlita Zemvaldis Zemvalds
15.08.;Zenta Dzelde Zelda Dzeja Dzestra Rima Rimars Rimma Rimvalda Rinvalda Zelga Zenita
16.08.;Astra Astrīda Asterija Astērija Astērijs Astrida Astride Astrīde Astrids Astrīds Astrīte Rinta Rio Riona Rivo
17.08.;Vineta Oļegs Rjuriks Roalds Roans Ruriks Veneta Venita Venjamina Veņa Vinete Vinets Vinita
18.08.;Liene Helēna Elena Ellena Liena Aļona Elana Elāna Elands Elans Elāns Elēna Elens Ellana Helena Helene Helēne Hellēna Jeļena Lena Lēna Lenija Lenijs Lenita Lienīte Ļena
19.08.;Melānija Imanta Imanda Imandra Malānija Māle Malgonija Malinda Malle Meisija Melanija Melija Melika Melina Melinda Melisandra Melizanda Melizande Melodija Rodžers Roēna Rogate
20.08.;Bernhards Boriss Rojs Bernads Bernarda Bernarde Bernardina Bernardīna Bernards Bernārs Bernats Borislavs Rokijs Roko Roksana Roksolana Samuela Samuels Samuēls Samvels Zahars Zamuels Zāmuels Zāmuēls
21.08.;Janīna Linda Janina Jaņina Jaņīna Linde Lindija Lindons Linna Linsija Romāra Romina Romunds Romuss Romuta
22.08.;Rudīte Everts Evans Evarists Evars Evarts Rode Rodijs Ruda
23.08.;Vitālijs Ralfs Valgudis Ralda Raldis Rolfs Rolijs Rolita Valgundis Vitalija Vitālija Vitalijs Vitalina Vitalis Vitālis Vitalisa Vitaliss Vitāls Vitars
24.08.;Bērtulis Boļeslavs Bartolomejs Bārtuļs Bertolds Bertrams Bierants Boļeslava Rorijs Rosma Rostislavs Varfolomejs Varlams
25.08.;Ludvigs Ludis Ivonna Patrīcija Patriks Ivona Ivonda Ivonija Ludolfs Lūdolfs Ludovika Ludoviks Ludviga Ludvika Ludviks Ludviķis Ludvisa Ludvise Ludvisija Luijs Luiss Ļudvise Patricija Patricijs Patrisija
26.08.;Natālija Tālija Broņislavs Broņislava Aglaja Bronija Bronis Bronislava Bronislavs Broņa Nata Nataleja Natalī Natalija Natalja Nataļja Nate Natela Natella Neta Talija Talita Tihons
27.08.;Žanis Jorens Alens Alana Alans Alēns Allans Allens Alons Džo Džonatans Džonijs Džonis Džons Huans Ivans Janeks Janis Janošs Jans Jāns Janušs Joans Johans Johanness Jonass Jonatans Jonatāns Jonijs Jons Jorēns Juhans Žanno Žano Žans Žuans
28.08.;Auguste Guste Augusta Augustina Augustīna Augustīne Gusta Rovena Rovēna Rovens Ruāna
29.08.;Armīns Vismants Aiga Aigija Aigijs Aigis Aigita Aigo Aigula Armanis Armans Armāns Armens Armida Armīda Armīds Armilda Armins Armis Rubens Rūbens Rūbija Rubīna Rufina Visija Viskants Visma Vismands
30.08.;Alvis Jolanta Samanta Alvija Alvijs Alvika Alvita Alvits Jalanta Jolanda Jolands Jolants Jolita Ruslana Ruslands Ruslans Ruslāns
31.08.;Vilma Aigars Aigvars Saksija Valida Valīda Valisa Valita Vallida Valma
01.09.;Ilmārs Iluta Austrums Hilmars Hilmārs Ilmāra Ilmars Salda
02.09.;Elīza Lizete Zete Elisa Elīsa Elise Eliss Elīss Eliza Elize Elizete Elīze Lisete Lizabete Lizbete Līzbete Lizelote Lizeta Sančo Savina Savīna Savita Zeta Zetiņa
03.09.;Berta Bella Aribella Beilija Belēna Belinda Berts Sangrita Sangvids Sanlija Sedriks Senefra Serafima Serafims Serafina Seranta
04.09.;Dzintra Dzintara Dzintars Ambera Ambere Dimants Dzintāra Dzintārija Dzintārs Dzintris Gintars Gintārs Gintauts Ģintars Zintars Zintra
05.09.;Klaudija Persijs Vaida Klavdija Pērs Vaidelotis Vaidis
06.09.;Maigonis Magnuss Mariuss Magnolija Magnus Maigons Marjus Maro
07.09.;Regīna Ermīns Erma Ermina Ermīna Ermine Ermīne Ermionija Ermonija Luna Regija Regina Regīns Regita Rego Reģina Reģīna Sēlija Selēna Selina Selīna Selīne Selinga Selita Senora Serena Serīna Serlana Sinora
08.09.;Ilga Ilgards Ilgars Ilgārs Ilgarts Ilgnese Sianda Siandra Sianta Siāra
09.09.;Bruno Telma Bronhilda Brunhilda Brunhilde Brunis Brunita Brunons Brūss Sidija Sidnejs Sidnija Sidnijs Sidonija Sidžija Teldijs Telesfors Zidija Zidonija
10.09.;Jausma Albertīne Albertina Albertīna Albertine Sigma Sijanda Zigma
11.09.;Signe Signija Siglinda Siglinde Signa Signeja Signejana Signese Signeta Signijs Signis Signita Zigna Zigne
12.09.;Erna Evita Eva Ernita Ēva Eve Evelinda Evelita Evi Evī Ēvī Evianna Evīna Silards Sinatra
13.09.;Iza Izabella Genadijs Genādijs Gennadijs Gennādijs Isabela Izabela Īzaks Singa Singita Singrita Singūna Singurs
14.09.;Sanita Santa Sanda Sanija Sandija Marfa Sana Sandita Saneta Sanijs Sanna Sannija Santana Santija Senda Sendija Sendlija Senija
15.09.;Sandra Gunvaldis Gunvaris Sondra Gunivaldis Gunivalds Gunvalds Gunvars Sandriāna Sandrīte Santra Sendra Sondars Sondris Zandra
16.09.;Asja Asnate Dāgs Anfims Asija Asnāte Dags Domna Sirdsvalda Sirdsvaldis Sirdvalda
17.09.;Vera Vaira Vairis Vaiva Aila Ailands Ailenda Aili Ailija Ailita Ajla Sīrija Sīringa Sirje Sirke Sivija Vaila Vaileta Vairita Vairīte Vaironis Vairons Vaivars Vēra Verena Verēna Verija Virēna
18.09.;Liesma Elita Alita Elite Eralds Mefodijs Metodijs Skara Skarleta Skārleta Skaudris
19.09.;Verners Muntis Munise Sorenta Spārīte Spartaks Spēkonis Vernis Vernons Veronis
20.09.;Guntra Ginters Marianna Mariana Marians Mariela Marijana Marijanna Marijans Maritana Marjana Marjanna Marjans Staldzis
21.09.;Modris Matīss Mariss Marijs Mārijs Mario Mariona Marisa Mateass Matejs Mateo Mateuss Mateušs Matiass Matija Matis Matvejs Maurīcijs Metjū Modriņš
22.09.;Māris Mārica Maigurs Maris Morics Moriss Steinārs Stenlijs
23.09.;Vanda Veneranda Venija Snorre Vandze Vaneranda Vanesa Vanese Venefrīda Venera Venēra Venerande Veners Venīna Veniranda
24.09.;Agris Agrita Agrits Agrons Steidzīte Steiga
25.09.;Rodrigo Rauls Raulis Sulamite Sulamīte Svanhilda
26.09.;Gundars Kurts Knuts Gundaris Gundolfs Gundra Nikita Ņikita Šeila Šeilija Šeina Šelbija Šelda Šellija Šerona
27.09.;Ādolfs Ilgonis Ado Adolfina Ādolfina Adolfīne Ādolfīne Adonija Adonis Adoniss Delfija Delfina Delfīna Delfīne Ilgons Širleja Širlija
28.09.;Sergejs Svetlana Lana Lāna Sergo Seržs Sveta Svetoslavs Svjatoslavs Vaclava Vaclavs Večella Večeslavs Večislavs Venceslavs Vencislava Vencislavs Venčeslavs Vinca Vinceslavs Vincis Vincs Vjačeslavs
29.09.;Miķelis Mikus Miks Mihails Jumis Maikls Maiks Migels Mihaela Mihaels Mihailina Mihalina Mihalīna Mihaļina Mikaela Mikaels Mikalina Mikēle Mikija Mikijs Mikuss Miķēlis Mišela Mišels
30.09.;Elma Menarda Elna Elmija Elmīna Elmīne Elnara Elnāra Elneta Elnurs Geronima Geronims Geronīms Heronima Heronims Heronīms Hieronīms Jeronims Jeronīms Ļubova Medards Medarts Medeja Meinards Meinhards Mena Mendija Meredita
01.10.;Zanda Lāsma Zandis Lāse Lasma Lāsmiņa
02.10.;Ilma Skaidris Hilma Ilme Ilmija Ilna Terijs Tesa Tilla Tillija Tils
03.10.;Elza Ilizana Ilizane Tira Tits Tobijs
04.10.;Modra Francis Dmitrijs Dimārs Dimitrijs Ditmārs Ferencs Francs Franeks Franks Fransuāza Franuse Fraņcs Frenks Frensisa Prans Tora Toralfs Torija Torolfs Tors Torvalds Tūrs Tūve
05.10.;Amālija Amēlija Amelija Amelita Rostams Rustams Rusudana Saida Saids Samija Samira Samīra Samīrs Semija Sevda Tagils Tahirs Tahmina Timurs Ulams Vagifs Vahtangs Zemfira Zemira Zemīra
06.10.;Monika Zilgma Zilga Mona Monija Monna Treisija Treviss Zilgars Zilgme
07.10.;Daumants Druvvaldis Augmants Daumands Druvaldis Druvalds Druvinalds Druvvalds Druvars Tullija Turaida Turaids Tusnelda
08.10.;Aina Anete Ainita Aino Ane Aneka Anela Anēle Anelija Anēlija Aneļa Anēļa Anese Aneta Anneta Annete Udo
09.10.;Elga Helga Elgars Elgasts Elgita Elgons Helge Helgi Helgrīda
10.10.;Arvīds Arvis Druvis Arvedo Arveds Arvēds Arvida Arvīda Arvīde Arvids Arvita Arvo Druvārs
11.10.;Monta Tince Silva Haritons Hartvigs Monda Montija Montis Monts Silmonta Silvana Silvars Silvers Silveta Silvita Siļva Zilva
12.10.;Valfrīds Kira Cirēnija Valfreds Valfrēds Valfrīda Valfrids
13.10.;Irma Mirga Irmants Irme Irmina Irmīna Irmīne Irmiņa Mira Mirabella Miralda Miranda Miroslava Miroslavs
14.10.;Vilhelmīne Minna Mīce Mina Minadora Mindora Vilhelma Vilhelmina Vilhelmīna Vilhelmine
15.10.;Eda Hedviga Helvijs Ede Edīna Edviga Heda Hedija Hedijs Hedvigs Helvi Helvigs Helvija Helvis Helvita
16.10.;Daiga Dinija Dinārs Daido Daidze Daiens Daigars Daigone Daigonis Daija Dilans Dinara Dināra Dinards Dinars Dineta Dinijs Dinnija
17.10.;Gaits Karīna Gaitis Gaita Karena Kārena Karens Karija Kārija Karina Kārina Karine Karinē Karīne Karita Kerena
18.10.;Rolands Rolanda Ronalds Erlends Lūkass Erlanda Erlands Erlenda Erlens Luka Lukass Railands Railija Railijs Rolande Rolando Rolans Rolāns Rolanta Rona Ronalda Ronaldo Ronans Ronda Ronijs Ronja Ronta Ronvalds
19.10.;Elīna Drosma Drosmis Drosme Drosmiņš Drošvaldis Drošvaris Elika Elina Elīne Elīns
20.10.;Leonīds Leonīda Leonida Leonide Leonids Leonita Pelageja
21.10.;Urzula Severīns Severīna Severins Severjans Taida Taīda Taisa Taisija Taīsija Ursula Uršula Uršule Uršuļa
22.10.;Īrisa Irīda Airisa Airida Arisa Iraisa Iresa Irida Irisa
23.10.;Daina Dainis Dainida Daimona Daimonds Daimons Dainars Dainārs Dainarts Dainita Dainīte Dainors Deimonds Deimons Jevlampija
24.10.;Renāte Modrīte Mudrīte Mudra Mudris Rana Ranāte Raneta Ranita Ranta Rena Rēna Renata Renāta Renate Reneta Renija Renijs Renita Renta Rineta Rinete
25.10.;Beāte Beatrise Beata Beāta Beate Beatrisa Biatrise Gilarijs Hilards Hilarija Hilarijs Hilārijs Hilars Hilārs
26.10.;Amanda Kaiva Amanta Amandis Amands Amantija Amaranda Amaranta Amarilla Amenta Araminta Azanda Azella Kaivis
27.10.;Lilita Irita Ita Itars Itārs Itija Itvars Lillita Praskovja Proskovja
28.10.;Ņina Ninona Antoņina Oksana Aksana Antonina Antonīna Nina Nīna Ninele Ninella Nineta Niseta Niveta Ņīna Oksāna
29.10.;Laimonis Elvijs Elva Elvis Laimis Elvars Elvi Elviga Elvigs Elvija Elvisa Elviss Elvo Laimonds Laimons Laimonts Laimutis Laimzieds
30.10.;Nadīna Ulla Adīna Adina Adīne Eila Nadežda Nadija Nadina Nadīne Ulda Uldive Uldze Ulita Uljana Uljans Ullija Uļjana Uļjans
31.10.;Valts Rinalds Rinalda Rainis Rainita Rainolds Rina Rīna Rinaldo Rinalts Vaits Valta Valtis
01.11.;Ikars Ihtiandrs Ikola Ildefons Ildra Iraklijs Tautmīlis Tautvaldis Tautvaris Ungars
02.11.;Vivita Dzīle Viva Dzilvars Venda Vendeta Vendija Vendijs Vivanta Vivanto Viveja Viveta Vivija Vivina
03.11.;Ērika Dagnija Era Ēra Erena Erēna Erika Hovards Huberts Hūberts Valeska Valve
04.11.;Atis Otomārs Oto Ata Otis Otomars Vega Vegita
05.11.;Šarlote Lote Late Lato Lota Šadija Šarlīze Šarlota Veidols Veikla Veiksma Veimārs
06.11.;Linards Leons Leo Leonards Leonarda Lenards Lenārs Lenarts Leona Leonāra Leonardo Leonarija Leonārija Leonars Leonārs Leone Leonella Leonhards Leonija Leonila Leonilla Linarda Linārs Linarts Linerts Lonards Lonarts Ļevs
07.11.;Helma Lotārs Pērle Helmī Helmija Helmīna Helmīne Lotars Vena Vēna Venancijs Venantijs Veno
08.11.;Aleksandra Agra Agreda Agrida Agrīda Agrija Agrīna Agrite Agrīte Aleksa Aleksandrija Aleksandrina Aleksandrīna Aleksandrīne
09.11.;Teodors Fedors Fedots Feodora Feodors Feodosija Fjodors Tea Teo Teobalds Teodora Teofila Teofīla Teofile Teofilija Teofīlija Teofils Teona Teovils
10.11.;Mārtiņš Mārcis Markuss Marks Marcela Marcelina Marcella Marciana Marcianna Marcijana Marcijanna Marcis Marčela Marčija Marko Markss Markus Martens Martins Martiņš Mortens
11.11.;Ojārs Rainers Nellija Lāčplēsis Nele Nelija Nelima Nelita Nella Neļa Neonila Neonilla Rainars Reimars Reimārs
12.11.;Kaija Kornēlija Kaira Kajs Kajsa Kornelija Kornelijs Kornēlijs Kortnija Veta Vianda Viāna Vianita Vianta Vidards Vidars Vidarts Vidavs Zinovija Zinovijs
13.11.;Eižens Jevgeņijs Jevgeņija Augenija Eiženijs Eugene Eugenijs Eugēnijs Eugeņs Euģenijs Euģēnijs Evgenijs Evgēnijs Evģenijs Evģēnijs Jevgenija Jevgēnija Jevgenijs Jevgēnijs Jevgēņija Jevgēņijs Jevģenija Jevģēnija Jevģenijs Jevģēnijs Jevženija Jevžēnija
14.11.;Fricis Vikentijs Vincents Frederika Frederiks Fredriks Friderika Frideriks Fridriha Fridrihs Frīdrihs  Spricis Vicenta Vicents Vikars Vincens Vincenta Vincentijs Vincentina Vincentīna Vincentīne Vinsents
15.11.;Leopolds Undīne Unda Leopoldina Undalgs Undija Undina Undīna Undis Undita
16.11.;Banga Glorija Ganda Jefimija Jefims Landa Landijs Vētra
17.11.;Hugo Uga Uģis Higo Igo Ugne Ugo
18.11.;Aleksandrs Doloresa Brīve Aleksanders Aleksandris Alesandrs Brīva Brīvīte Dolita Dollija Laisve Latvis Latvīte Zandars Zanders
19.11.;Elizabete Liza Līze Betija Alžbeta Beta Betsija Beverīna Eba Elizabeta Elīzabeta Elīzabete Elizaveta Elizavete Elizbete Elzabeta Elžbeta Jelizabeta Jelizaveta Jelizavete Jeļizabeta Jeļizaveta Jeļizavete Lisa Lisija Līza Lize Līziņa
20.11.;Anda Andīna Vigo Andija Andina Andīne Nanda Viga Vīga Vīgants Vigars Vigda Vigelijs Vigeta Vigija Vigilija Vigilijs Vigita Vīgo Viģīlija
21.11.;Zeltīte Andis Andars Andejs Andijs Ando Vigors Vigorts Vigra Vigurds Vilfrida Vilfrīds Vilibalds Viliberts Zelta Zeltiņa Zlata
22.11.;Aldis Alfons Aldris Aldijs Aldra Alfins Alfonija Alfonss Vilonija Vilora
23.11.;Zigrīda Zigfrīda Zigrīds Sigrīda Sigrija Sigruna Sigrūna Sigurnija Ziga Zigda Zigfrida Zigra Zigrida Zigrids Zigrita Zigvija
24.11.;Velta Velda Velards Veldra Velita Velte Veltija Vīna Vinārs Viners Vīne
25.11.;Katrīna Kate Kadrija Trīne Katrīne Jekaterina Jekaterīna Kadija Katalīna Katarina Katarīna Katažina Katerina Katerīna Katija Katiņa Katra Katre Katri Katrina Katrine Katriona Kecija Keita Keitija Keitlina Keta Kēta Kete Kēte Ketija Ketri Ketrija Ketrina Ketrīna Trīna
26.11.;Konrāds Sebastians Kondrats Kondrāts Konors Konrads Konrands Konrāts Manefa Sebastjans Vingra
27.11.;Lauris Norberts Laurijs Nords Vinifreda Vinifreds Vinija Vinnija Vinolds Vinona
28.11.;Rita Vita Olita Olija Olina Olis Ollija Ritija Vinta Vintars Vintārs Vintra Vints Vitija
29.11.;Ignats Virgīnija Aimo Ignatijs Ignātijs Ignāts Vergenija Virdžīnija Virga Virgenija Virgilijs Virgina Virgīna Virgine Virgīne Virginija Virginijs Virģinija Virģīnija
30.11.;Andrievs Andrejs Andris Anders Anderss Andrāšs Andreass Andrejans Andrējs Andress Andrians Andriāns Andrijans Andrijs Andrivs Androns Andrs Andruss Endrijs Endrū
01.12.;Arnolds Emanuels Arnotijs Arnulfs Emanuela Emanuēla Emanuils Emmanuels Imanuels Immanuels Manuela Manuēla Noldis
02.12.;Meta Sniedze Mēta Mets Snežana Snežanna Sniedzīte Sniga Sņežana Sņežanna Voicehs Voiceks Voicihs Voiciks Voičiks Voitiks
03.12.;Evija Raita Jogita Ako Akims Džovita Ēvija Evijs Evika Evisa Ēvisa Jakims Joahims Joakims Jovars Jovita Jugita Jukums Volfgangs Volfreds Volfrids Volfrīds Volfs
04.12.;Baiba Barbara Barba Varvara Vsevolods Vudis Vudro
05.12.;Sabīne Sarma Klaudijs Sabina Sabīna Sabine Sabrina Sabrīna Sabrīne Sarme Zabīne Zanga Zanza
06.12.;Nikolajs Niklāvs Niks Nikola Meikols Meikuls Meikuļs Nika Nikandrs Nikija Nikijs Niklass Niklauss Niklāss Niklavs Niko Nikolass Nikole Nikoleta Nikolīna Nikolla Ņika
07.12.;Antonija Anta Dzirkstīte Antainna Antija Antonela Antonida Antonīda Antuaneta Antuanete Tone Tonija Tonita Toņa Zbigņevs Zdeneks
08.12.;Gunārs Vladimirs Gunis Gināra Ginārs Gunāra Gunards Gunars Gunarts Gunijs Gunnars Guno Vladilena Vladilens Vladimira Vladis Vladlena Vladlēna Vladlens Vlads
09.12.;Tabita Sarmīte Sārtīte Tabite Zenobija Zenona Zenons
10.12.;Guna Judīte Džudīte Gunefa Nevils Zēra
11.12.;Voldemārs Valdemārs Valdis Valdeko Valdeks Valdemars Valdimārts Valdimirs Valdmiers Valdona Valdone Valdonis Valdons Valds Vaļds Vivaldis Voldemars Voldis Voldmārs Volmārs Vulmārs
12.12.;Otīlija Iveta Atala Atāls Igeta Igila Igita Iverta Iverts Ivete Odeta Odita Ofēlija Otālija Otilija Zezostrs
13.12.;Lūcija Veldze Luceja Lucianna Lucians Luciāns Lucija Lucijana Lucijans Lucijāns Lusiāna Lusija Lūsija Ļusja Veldza
14.12.;Auseklis Gaisma Gaismīte Gaismone Gaismonis Gaismons Illuminata
15.12.;Johanna Hanna Jana Hanelita Hanija Hannelora Hannelore Hannija Jāna Janeka Janija Janika Janna Joana Joanna Johana Jonita Juanna Junna Žuanete
16.12.;Alvīne Alvina Alvīna Alvine Alvīnija Alvins Alvīns Zira Zola Zolija
17.12.;Hilda Teiksma Borghilde Borģīne Dziesma Hildegarde Hildura Hilga Hilja Ilda Ildars
18.12.;Kristaps Kristofers Krists Klinta Kristers Klints Kriss Kristafors Kristans Kristars Kristens Kristo Kristofors Kristofs Kšištofs
19.12.;Lelde Sarmis Alena Alēna Alereins Lelda Tots
20.12.;Arta Minjona Artemida Artemijs Artemīda Artēmijs Artija Artjoms Vitnija
21.12.;Toms Tomass Saulcerīte Saulceris Saulgaida Saulgaitis Tomašs Tomāšs Tomijs Tumašs
22.12.;Saulvedis Saule Saulīte Saulstarīte Saulstars Saulvija
23.12.;Viktorija Balva Vika Vikija Viktora Viktorina
24.12.;Ādams Ieva Ieviņa Odums
25.12.;Stella Larisa Estella Zvaigznīte
26.12.;Dainuvīte Gija Megija Dainavīte Gijs Mega Megana
27.12.;Elmārs Inita Helmārs Elmāra Elmars Helmars Initra
28.12.;Inga Ivita Irvita Ingeborga Inge Ingerūda Ingeta Ingita Ingo Irvalds Irvings Irvins Irvīns
29.12.;Solveiga Ilgona Invalds Invars Inveiga Solanža Solvega Solvēga
30.12.;Dāvids Dāvis Dāniels Daniela Daniels Daniēla Dāniela Daniella Daniēls Daniils Danils Daņiils Daņila Daņils Dato Davids Dāvīds Dāvs Deivids Deivija Deivijs Deivis Deivs Deniels Dēvids Dēvija Dēvijs
31.12.;Silvestrs Silvis Kalvis Kalve Silvesters Silvestra Silvestris
