ticker,name,exchange,category name,country
ANAN-R.BK,Ananda Development Public Company Limited,SET,,Thailand
AOT.BK,Airports of Thailand Public Company Limited,SET,,Thailand
AOT-R.BK,Airports of Thailand Public Company Limited,SET,,Thailand
AP.BK,AP (Thailand) Public Company Limited,SET,,Thailand
APCS.BK,Asia Precision Public Company Limited,SET,,Thailand
APURE.BK,Agripure Holdings Public Company Limited,SET,,Thailand
APURE-R.BK,Agripure Holdings Public Company Limited,SET,,Thailand
APX.BK,Apex Development Public Company Limited,SET,,Thailand
AP-R.BK,AP (Thailand) Public Company Limited,SET,,Thailand
APCO.BK,Asian Phytoceuticals Public Company Limited,SET,,Thailand
APX-R.BK,Apex Development Public Company Limited,SET,,Thailand
APCO-R.BK,Asian Phytoceuticals Public Company Limited,SET,,Thailand
APCS-R.BK,Asia Precision Public Company Limited,SET,,Thailand
AQUA.BK,Aqua Corporation Public Company Limited,SET,,Thailand
AQ.BK,AQ Estate Public Company Limited,SET,,Thailand
AQUA-R.BK,Aqua Corporation Public Company Limited,SET,,Thailand
AQ-R.BK,AQ Estate Public Company Limited,SET,,Thailand
ARIP-R.BK,ARIP Public Company Limited,SET,,Thailand
ARROW-R.BK,Arrow Syndicate Public Company Limited,SET,,Thailand
ARROW.BK,Arrow Syndicate Public Company Limited,SET,,Thailand
ARIP.BK,ARIP Public Company Limited,SET,,Thailand
ASP.BK,Asia Plus Group Holdings Public Company Limited,SET,,Thailand
ASIAN.BK,Asian Seafoods Coldstorage Public Company Limited,SET,,Thailand
BLA-R.BK,Bangkok Life Assurance Public Company Limited,SET,,Thailand
ASCON.BK,ASCON.BK,SET,,Thailand
ASP-R.BK,Asia Plus Group Holdings Public Company Limited,SET,,Thailand
ASEFA-R.BK,Asefa Public Company Limited,SET,,Thailand
PMTA-R.BK,PM Thoresen Asia Holdings Public Company Limited,SET,,Thailand
ASK.BK,Asia Sermkij Leasing Public Company Limited,SET,,Thailand
AS.BK,Asiasoft Corporation Public Company Limited,SET,,Thailand
ASIMAR-R.BK,Asian Marine Services Public Company Limited,SET,,Thailand
UPA.BK,United Power of Asia Public Company Limited,SET,,Thailand
ASEFA.BK,Asefa Public Company Limited,SET,,Thailand
BLA.BK,Bangkok Life Assurance Public Company Limited,SET,,Thailand
ASK-R.BK,Asia Sermkij Leasing Public Company Limited,SET,,Thailand
AS-R.BK,Asiasoft Corporation Public Company Limited,SET,,Thailand
ASIA-R.BK,Asia Hotel Public Company Limited,SET,,Thailand
ASIA.BK,Asia Hotel Public Company Limited,SET,,Thailand
PMTA.BK,PM Thoresen Asia Holdings Public Company Limited,SET,,Thailand
ASIMAR.BK,Asian Marine Services Public Company Limited,SET,,Thailand
PCA.BK,Planet Communications Asia Public Company Limited,SET,,Thailand
PCA-R.BK,Planet Communications Asia Public Company Limited,SET,,Thailand
ASIAN-R.BK,Asian Seafoods Coldstorage Public Company Limited,SET,,Thailand
J.BK,JAS Asset Public Company Limited,SET,,Thailand
SCBLIF.BK,SCB Life Assurance Public Company Limited,SET,,Thailand
J-R.BK,JAS Asset Public Company Limited,SET,,Thailand
ATP30-R.BK,ATP 30 Public Company Limited,SET,,Thailand
ATP30.BK,ATP 30 Public Company Limited,SET,,Thailand
AUCT.BK,Union Auction Public Company Limited,SET,,Thailand
AUCT-R.BK,Union Auction Public Company Limited,SET,,Thailand
AYUD.BK,Sri Ayudhya Capital Public Company Limited,SET,,Thailand
AYUD-R.BK,Sri Ayudhya Capital Public Company Limited,SET,,Thailand
BAY.BK,Bank of Ayudhya Public Company Limited,SET,,Thailand
BRC.BK,BANGKOK RUBBER PUBLIC COMPANY L,SET,,Thailand
BBL.BK,Bangkok Bank Public Company Limited,SET,,Thailand
BBL-R.BK,Bangkok Bank Public Company Limited,SET,,Thailand
BCP.BK,Bangchak Corporation Public Company Limited,SET,,Thailand
BCH-R.BK,Bangkok Chain Hospital Public Company Limited,SET,,Thailand
BCH.BK,Bangkok Chain Hospital Public Company Limited,SET,,Thailand
