UID,Session,Sample,SampleMass,ColdFingerPressure,AcidReactionYield,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
H573,2020-09c,ETH-4,3.58,177.2,1.000,-3.809,35.164,-6.514356,-14.870724,-21.693647,-30.529361,0.887472,-10.216532,19.746668,-0.459636,-1.039803,37.997538,0.464176
H574,2020-09c,DVH-2,3.54,175.2,1.000,-3.809,35.164,1.296956,-11.871647,-10.714860,-24.408152,-0.095485,-1.980985,22.840853,-0.367947,-0.825260,22.235474,0.563475
H575,2020-09c,LGB-2,3.60,179.4,1.007,-3.809,35.164,3.636530,-0.340571,3.120407,-0.716852,2.263318,0.089832,34.801645,-0.294561,-0.035828,-0.938248,0.642695
H576,2020-09c,ETH-3,3.70,174.9,0.957,-3.809,35.164,5.228513,2.184686,7.228444,4.448176,2.040461,1.697395,37.418492,-0.323254,0.073743,-7.777490,0.611238
H577,2020-09c,ETH-1,3.61,178.4,0.999,-3.809,35.164,5.524030,1.785583,6.760122,3.337710,1.003289,2.028006,37.003638,-0.699744,-0.235764,-8.339012,0.201240
H578,2020-09d,ETH-1,3.59,181.2,1.015,-3.811,35.115,5.537215,1.912355,6.905251,3.658854,0.126586,2.035197,37.088909,-0.693539,-0.168829,-9.467710,0.210107
H579,2020-09d,ETH-2,3.56,178.7,1.006,-3.811,35.115,-6.455487,-14.602548,-21.595634,-30.197747,-0.488478,-10.164966,19.962766,-0.688052,-1.241948,35.950888,0.217375
H580,2020-09d,ETH-3,3.66,178.5,0.989,-3.811,35.115,5.245223,2.318564,7.394992,4.647105,0.024745,1.708115,37.511519,-0.306396,0.004614,-10.050880,0.629061
H581,2020-09d,LGB-2,3.57,179.2,1.007,-3.811,35.115,3.649766,-0.233048,3.252929,-0.646144,0.293070,0.097928,34.864888,-0.281811,-0.180164,-3.126924,0.655862
H582,2020-09d,DVH-2,3.60,178.5,0.999,-3.811,35.115,1.316267,-11.742608,-10.568642,-24.352268,-0.326841,-1.967081,22.915379,-0.368437,-1.028952,21.715734,0.562757
H583,2020-09d,ETH-4,3.55,178.0,1.003,-3.811,35.115,-6.505823,-14.773219,-21.611125,-30.392277,-0.334707,-10.212373,19.785606,-0.481440,-1.096296,36.518955,0.440977
H584,2020-09d,ETH-2,3.52,174.8,0.990,-3.811,35.115,-6.461868,-14.667227,-21.666100,-30.339104,-0.175890,-10.169366,19.895599,-0.688916,-1.256420,36.415636,0.216443
H585,2020-09d,ETH-1,3.58,179.9,1.009,-3.811,35.115,5.532518,1.887574,6.877173,3.575824,0.375978,2.031097,37.063180,-0.692289,-0.202086,-9.167619,0.211462
H586,2020-09d,ETH-3,3.62,174.1,0.971,-3.811,35.115,5.241402,2.280570,7.331436,4.663715,0.439485,1.705441,37.472064,-0.328290,0.096965,-9.562531,0.605370
H587,2020-09d,DVH-2,3.54,177.8,1.004,-3.811,35.115,1.308495,-11.783056,-10.611698,-24.242918,-0.058519,-1.973876,22.873384,-0.363705,-0.835201,22.080634,0.567880
H588,2020-09d,LGB-2,3.59,177.8,0.996,-3.811,35.115,3.645788,-0.275503,3.209965,-0.686474,-0.423492,0.095254,34.820799,-0.278797,-0.135596,-3.753696,0.659126
H589,2020-09d,ETH-4,3.59,180.1,1.009,-3.811,35.115,-6.505447,-14.771969,-21.598317,-30.455803,0.165406,-10.212018,19.786904,-0.469993,-1.164276,37.034501,0.453365
H590,2020-09d,ETH-1,3.56,177.0,0.996,-3.811,35.115,5.528022,1.862296,6.827796,3.538367,-0.317435,2.027231,37.036934,-0.711897,-0.188951,-9.800605,0.190244
H591,2020-09d,ETH-2,3.51,175.0,0.993,-3.811,35.115,-6.464070,-14.707076,-21.711136,-30.362537,0.716833,-10.170230,19.854213,-0.692901,-1.199770,37.425923,0.212133
H592,2020-09d,ETH-3,3.67,178.1,0.986,-3.811,35.115,5.236021,2.269984,7.321776,4.640715,0.158513,1.700083,37.461081,-0.321975,0.095195,-9.814494,0.612205
H593,2020-09d,LGB-2,3.56,179.2,1.009,-3.811,35.115,3.673084,-0.290459,3.206788,-0.712065,0.649819,0.124977,34.805201,-0.295307,-0.131285,-2.683545,0.641258
H594,2020-09d,DVH-2,3.54,178.0,1.005,-3.811,35.115,1.303212,-11.834002,-10.664026,-24.526210,0.590329,-1.977619,22.820479,-0.360463,-1.022290,22.853225,0.571391
H595,2020-09d,ETH-4,3.56,178.0,1.002,-3.811,35.115,-6.512744,-14.826790,-21.657851,-30.667830,-0.923265,-10.217766,19.729978,-0.468560,-1.271567,36.027082,0.454919
H596,2020-09d,ETH-2,3.62,173.4,0.967,-3.811,35.115,-6.463332,-14.678922,-21.681048,-30.360138,0.102523,-10.170493,19.883454,-0.691005,-1.254377,36.730046,0.214183
H597,2020-09d,ETH-1,3.52,176.1,0.997,-3.811,35.115,5.525071,1.820014,6.797478,3.536227,0.669232,2.025646,36.993023,-0.697497,-0.106687,-8.737989,0.205829
H598,2020-09d,ETH-3,3.62,173.1,0.965,-3.811,35.115,5.220796,2.202918,7.251384,4.380228,0.372265,1.686302,37.391455,-0.310446,-0.030293,-9.456643,0.624686
H599,2020-09d,DVH-2,3.59,180.3,1.010,-3.811,35.115,1.301306,-11.839034,-10.671555,-24.474282,-0.496345,-1.979468,22.815256,-0.361103,-0.958936,21.754670,0.570699
H600,2020-09d,LGB-2,3.53,176.7,0.999,-3.811,35.115,3.629752,-0.327163,3.120313,-0.875253,-0.624667,0.080036,34.767178,-0.300870,-0.221156,-3.836088,0.635242
H601,2020-09d,ETH-4,3.54,176.9,0.999,-3.811,35.115,-6.511024,-14.838311,-21.678733,-30.642210,-0.804427,-10.215497,19.718007,-0.480188,-1.221810,36.172214,0.442335
H602,2020-09d,ETH-1,3.58,180.0,1.010,-3.811,35.115,5.528985,1.826144,6.802587,3.641285,0.208118,2.029601,36.999381,-0.702451,-0.014248,-9.210792,0.200468
H603,2020-09d,ETH-2,3.55,177.1,0.998,-3.811,35.115,-6.464714,-14.713168,-21.727030,-30.400027,-1.074181,-10.170690,19.847886,-0.702393,-1.226037,35.582507,0.201860
H604,2020-09d,ETH-3,3.62,173.9,0.970,-3.811,35.115,5.226292,2.207639,7.243929,4.222861,-0.338647,1.691999,37.396346,-0.328113,-0.196389,-10.175500,0.605566
H605,2020-09d,LGB-2,3.58,178.8,1.003,-3.811,35.115,3.643811,-0.329160,3.142457,-0.853721,-0.645068,0.095133,34.765071,-0.291285,-0.195616,-3.867383,0.645614
H606,2020-09d,DVH-2,3.57,177.5,0.998,-3.811,35.115,1.305822,-11.807988,-10.629996,-24.417575,-0.882522,-1.975801,22.847493,-0.354642,-0.963638,21.291928,0.577689
H607,2020-09d,ETH-4,3.58,178.6,1.002,-3.811,35.115,-6.510532,-14.825593,-21.656648,-30.675476,-1.056144,-10.215447,19.731216,-0.470821,-1.281872,35.884357,0.452472
H608,2020-09d,ETH-2,3.54,177.7,1.003,-3.811,35.115,-6.467736,-14.747258,-21.765046,-30.661327,-0.352437,-10.172645,19.812484,-0.704099,-1.426101,36.404557,0.200016
H609,2020-09d,ETH-1,3.53,176.7,0.999,-3.811,35.115,5.526616,1.809708,6.789005,3.513705,-0.047660,2.027679,36.982314,-0.697383,-0.108555,-9.429738,0.205952
H610,2020-10a,ETH-1,3.56,178.8,1.013,-3.802,35.155,5.532549,1.955567,6.935711,3.673954,-2.596983,2.039520,37.171467,-0.700902,-0.240027,-12.243990,0.202484
H611,2020-10a,ETH-2,3.52,177.7,1.018,-3.802,35.155,-6.458895,-14.642972,-21.639804,-30.461428,-0.360795,-10.160520,19.976413,-0.689326,-1.431575,36.170537,0.216093
H612,2020-10a,ETH-3,3.73,180.7,0.977,-3.802,35.155,5.242480,2.313220,7.351489,4.504610,-0.661826,1.716179,37.543249,-0.341514,-0.126561,-10.717295,0.592659
H613,2020-10a,DVH-2,3.50,175.9,1.014,-3.802,35.155,1.305339,-11.768726,-10.619359,-24.604206,-1.660673,-1.968292,22.940806,-0.382451,-1.234122,20.417347,0.548868
H614,2020-10a,LGB-2,3.52,176.2,1.010,-3.802,35.155,3.677916,-0.286551,3.223003,-0.875797,-1.038276,0.140232,34.849338,-0.287958,-0.302928,-4.378776,0.650957
H615,2020-10a,ETH-4,3.59,180.0,1.011,-3.802,35.155,-6.508784,-14.767553,-21.592980,-30.565960,-0.393560,-10.209190,19.847261,-0.465482,-1.286714,36.449511,0.459121
H616,2020-10a,ETH-1,3.57,178.1,1.006,-3.802,35.155,5.524327,1.842806,6.823113,3.681627,-0.461099,2.034915,37.054484,-0.693645,-0.007317,-9.901183,0.210367
H617,2020-10a,ETH-2,3.59,178.7,1.004,-3.802,35.155,-6.467188,-14.685428,-21.687931,-30.654356,-0.682956,-10.167797,19.932379,-0.687547,-1.544241,35.933525,0.218026
H618,2020-10a,ETH-3,3.63,175.1,0.973,-3.802,35.155,5.228615,2.271712,7.318171,4.445219,-1.033311,1.702898,37.500212,-0.319651,-0.102864,-10.990024,0.616398
H619,2020-10a,LGB-2,3.52,176.2,1.010,-3.802,35.155,3.652558,-0.239082,3.241058,-0.671345,-0.160324,0.111362,34.898651,-0.290578,-0.193308,-3.569907,0.648111
H620,2020-10a,DVH-2,3.51,172.7,0.992,-3.802,35.155,1.304415,-11.777415,-10.603106,-24.568939,-0.862272,-1.968955,22.931792,-0.356436,-1.180446,21.252055,0.577112
H623,2020-10a,ETH-1,3.56,177.6,1.006,-3.802,35.155,5.524569,1.855560,6.830978,3.554581,-0.618319,2.034701,37.067717,-0.698594,-0.159353,-10.081937,0.204993
H624,2020-10a,ETH-3,3.62,174.5,0.972,-3.802,35.155,5.229219,2.218532,7.260226,4.618806,-0.085200,1.705516,37.445030,-0.325626,0.176072,-9.948768,0.609913
H625,2020-10a,DVH-2,3.55,177.0,1.006,-3.802,35.155,1.303002,-11.787979,-10.612177,-24.663485,-0.654095,-1.970071,22.920834,-0.353639,-1.255906,21.487835,0.580150
H626,2020-10a,LGB-2,3.52,170.5,0.977,-3.802,35.155,3.612404,-0.293040,3.148490,-0.793454,-1.229613,0.070444,34.842757,-0.288513,-0.207559,-4.487532,0.650357
H627,2020-10a,ETH-4,3.59,178.7,1.004,-3.802,35.155,-6.502032,-14.799613,-21.615902,-30.822603,-0.294285,-10.200773,19.813979,-0.463930,-1.486125,36.611218,0.460806
H628,2020-10a,ETH-2,3.53,173.1,0.989,-3.802,35.155,-6.466836,-14.692095,-21.703989,-30.684633,-1.143411,-10.167171,19.925460,-0.697668,-1.561916,35.469575,0.207038
H629,2020-10a,ETH-1,3.58,177.9,1.002,-3.802,35.155,5.520424,1.826933,6.810601,3.534552,-0.197828,2.031332,37.038023,-0.686495,-0.122168,-9.605466,0.218130
H630,2020-10a,ETH-3,3.60,173.4,0.971,-3.802,35.155,5.226470,2.242587,7.285251,4.431812,-0.588639,1.701685,37.469997,-0.321560,-0.058096,-10.491029,0.614326
H631,2020-10a,LGB-2,3.50,175.0,1.008,-3.802,35.155,3.632969,-0.311241,3.160417,-0.789073,-0.125427,0.093103,34.823824,-0.279865,-0.166769,-3.373053,0.659746
H632,2020-10a,DVH-2,3.56,172.4,0.977,-3.802,35.155,1.298529,-11.811501,-10.634069,-24.579105,-1.482706,-1.973974,22.896438,-0.347756,-1.121950,20.693468,0.586538
H633,2020-10a,ETH-4,3.60,179.7,1.007,-3.802,35.155,-6.511405,-14.830977,-21.677642,-30.962198,-0.938440,-10.209619,19.781457,-0.485994,-1.566376,36.018509,0.436854
H634,2020-10a,ETH-1,3.55,175.3,0.996,-3.802,35.155,5.519694,1.804704,6.774650,3.511015,-0.638216,2.031377,37.014959,-0.699629,-0.101247,-9.997778,0.203871
H635,2020-10a,ETH-2,3.54,175.5,1.000,-3.802,35.155,-6.467665,-14.736293,-21.750785,-30.762201,-0.397019,-10.166404,19.879602,-0.700539,-1.552241,36.335592,0.203923
H636,2020-10a,ETH-3,3.65,175.4,0.969,-3.802,35.155,5.218155,2.175493,7.210266,4.310641,-0.123921,1.695286,37.400398,-0.321651,-0.044849,-9.891943,0.614230
H637,2020-10a,DVH-2,3.53,176.0,1.006,-3.802,35.155,1.303572,-11.831780,-10.669880,-24.757960,-0.667261,-1.967826,22.875385,-0.368962,-1.264115,21.562742,0.563515
H638,2020-10a,LGB-2,3.55,176.8,1.004,-3.802,35.155,3.627098,-0.336822,3.116566,-0.852866,-0.433839,0.087777,34.797294,-0.292381,-0.179434,-3.624150,0.646158
H639,2020-10a,ETH-4,3.59,178.7,1.004,-3.802,35.155,-6.518660,-14.868077,-21.719735,-30.950983,-0.240549,-10.215987,19.742978,-0.484463,-1.479616,36.827008,0.438518
H640,2020-10a,ETH-2,3.55,175.9,0.999,-3.802,35.155,-6.477988,-14.772574,-21.795374,-30.799359,-0.758855,-10.176082,19.841980,-0.699198,-1.516985,36.046897,0.205380
H641,2020-10a,ETH-1,3.53,175.3,1.002,-3.802,35.155,5.516252,1.788352,6.747919,3.454205,-0.109589,2.028304,36.998000,-0.706596,-0.125212,-9.438715,0.196308
H642,2020-10a,ETH-3,3.64,170.2,0.943,-3.802,35.155,5.225713,2.206539,7.257580,4.396562,-1.085496,1.702213,37.432594,-0.312894,-0.021257,-10.912262,0.623736
H643,2020-10a,LGB-2,3.59,178.7,1.004,-3.802,35.155,3.616443,-0.341946,3.099858,-0.853224,-0.145425,0.076578,34.792002,-0.293045,-0.169543,-3.315342,0.645438
H644,2020-10a,DVH-2,3.55,176.7,1.004,-3.802,35.155,1.298057,-11.852316,-10.685241,-24.822203,-0.703626,-1.972954,22.854089,-0.358377,-1.288396,21.573284,0.575008
H645,2020-10a,ETH-4,3.57,177.2,1.001,-3.802,35.155,-6.518208,-14.880430,-21.710635,-31.079731,0.080367,-10.215042,19.730160,-0.463312,-1.587241,37.184876,0.461481
H646,2020-10a,ETH-2,3.52,174.3,0.999,-3.802,35.155,-6.473328,-14.764691,-21.773045,-31.048959,-0.449448,-10.171396,19.850149,-0.689084,-1.790100,36.346226,0.216360
H647,2020-10a,ETH-3,3.62,174.5,0.972,-3.802,35.155,5.222127,2.181394,7.218410,4.358154,-0.619736,1.699313,37.406512,-0.323431,-0.009318,-10.398532,0.612298
H648,2020-10a,ETH-4,3.59,178.8,1.004,-3.802,35.155,-6.519390,-14.877375,-21.723391,-31.118875,-0.173233,-10.216419,19.733332,-0.478166,-1.633769,36.916863,0.445355
H649,2020-10a,DVH-2,3.57,178.1,1.006,-3.802,35.155,1.294257,-11.870220,-10.716492,-24.836185,-0.483831,-1.976348,22.835520,-0.368233,-1.266525,21.838496,0.564309
H650,2020-10a,LGB-2,3.54,175.2,0.998,-3.802,35.155,3.646725,-0.340563,3.139417,-0.927881,-0.435047,0.108897,34.793367,-0.286098,-0.247017,-3.638791,0.652978
H651,2020-10a,ETH-4,3.53,175.4,1.002,-3.802,35.155,-6.517652,-14.857396,-21.692630,-31.156060,-0.320568,-10.215309,19.754059,-0.468470,-1.712578,36.720814,0.455880
H652,2020-10a,ETH-2,3.58,176.8,0.996,-3.802,35.155,-6.475480,-14.776517,-21.810761,-31.012601,-0.015817,-10.173254,19.837883,-0.713588,-1.728679,36.822668,0.189758
H653,2020-10a,ETH-1,3.52,174.2,0.998,-3.802,35.155,5.515617,1.763527,6.732236,3.408943,0.026852,2.028547,36.972243,-0.697165,-0.120758,-9.254635,0.206549
H654,2020-10a,ETH-2,3.54,174.9,0.996,-3.802,35.155,-6.467506,-14.767988,-21.769954,-30.951659,-0.069631,-10.165049,19.846714,-0.688681,-1.683180,36.740367,0.216798
H655,2020-10a,ETH-3,3.68,175.4,0.961,-3.802,35.155,5.207206,2.163462,7.189838,4.279251,-0.463398,1.684028,37.387940,-0.318894,-0.052094,-10.193265,0.617224
H656,2020-10a,LGB-2,3.56,176.8,1.002,-3.802,35.155,3.606419,-0.365537,3.060636,-0.794630,0.630412,0.066739,34.767547,-0.298639,-0.063714,-2.485089,0.639366
H657,2020-10a,DVH-2,3.56,175.9,0.997,-3.802,35.155,1.293573,-11.880853,-10.716253,-25.105367,-0.519266,-1.976682,22.824489,-0.356710,-1.520724,21.824622,0.576819
H658,2020-10a,ETH-4,3.57,174.4,0.985,-3.802,35.155,-6.525434,-14.906905,-21.743635,-31.205247,-0.319452,-10.221776,19.702705,-0.463119,-1.662918,36.833014,0.461692
H659,2020-10a,ETH-1,3.55,175.2,0.995,-3.802,35.155,5.515215,1.753373,6.720034,3.320187,0.071257,2.028494,36.961708,-0.698906,-0.188933,-9.190484,0.204659
H660,2020-10a,ETH-2,3.58,175.4,0.988,-3.802,35.155,-6.482778,-14.818288,-21.851455,-31.049533,-0.903483,-10.179493,19.794557,-0.705934,-1.682077,35.996720,0.198070
H661,2020-10a,ETH-3,3.69,171.6,0.938,-3.802,35.155,5.205862,2.156336,7.167568,4.139230,-0.971826,1.682856,37.380549,-0.332631,-0.177293,-10.681510,0.602311
H662,2020-10a,ETH-4,3.58,172.7,0.973,-3.802,35.155,-6.525007,-14.878852,-21.739769,-31.253280,-1.584380,-10.222369,19.731813,-0.487596,-1.769271,35.462658,0.435117
